Audelina Rosa,Castiblanco,35000000,07/04/1999
Rita Rumalda,Sanchez,35000001,02/01/2002
Omar Valerio,Moncaleano,35000002,24/03/2002
Raquel Delia,Mendoza,35000003,07/09/2000
Edis Antonia Libera,Castiblanco,35000004,21/05/2003
Carlos Alberto Pastor,Castaño,35000005,08/10/1999
Trancito Jesus,Rocha,35000006,09/11/2001
Aldo Lorenzo,Rodríguez,35000007,23/03/2001
Oscar Crispin,Mejia,35000008,11/10/2001
Eldy Maria,Muñoz,35000009,18/04/2000
Nelio Domingo,Lanao,35000010,23/06/2001
Norberto Fermin,Pinzon,35000011,06/04/2000
Carlos Dantes,Herrera,35000012,18/09/1999
Isabel Grizelda,Montoya,35000013,06/04/2002
Romilda Petrona,Garcia,35000014,04/03/2002
Alberto Floreal,Puerto,35000015,12/02/2001
Naldo Roberto,Barthel,35000016,05/08/1998
Feliza Dominga,Nieto,35000017,01/11/1999
Rosita Luisa,Guerrero,35000018,03/07/2002
Zulema Marta,Diaz,35000019,14/04/2002
Angel Cirilo,Montoya,35000020,10/01/2002
Alicia Queduvina,Forero,35000021,24/02/1998
Manuel Jeronimo,Gomez,35000022,24/07/2000
Nicolasa Filomena,Navia,35000023,05/05/2002
Albedo Manuel,Fino,35000024,15/03/2001
Luciano Santiago,Torres,35000025,25/06/2002
Griselda Filomena,Bravo,35000026,20/02/2001
Raul Gaston,Forero,35000027,14/10/2001
Santos Pantaleón,Villa,35000028,22/05/2000
Elfa,Rey,35000029,16/04/2003
Eugenio Gregorio,Garcia,35000030,14/03/2001
Angel Ricardo,Coral,35000031,16/03/1998
Adelmo,Tarquino,35000032,11/12/2002
Estela Pilar,Varon,35000033,25/11/1998
Wally Irupe del Alba,Ruiz,35000034,09/12/2003
Rosendo Isidro,Romero,35000035,17/07/2003
Concepcion Lorenza Elena,Cervantes,35000036,23/03/1998
Delfino Ramón,Hernández,35000037,17/02/2002
Santos Anastacio,Moncaleano,35000038,15/10/2001
Petrona Pastora,Sierra,35000039,28/09/1998
